client_id,preferred_location,min_budget_DZD,max_budget_DZD,min_area,max_area,preferred_property_type,marital_status,has_kids,weight_location,weight_property_type,preferred_rooms,weight_rooms,preferred_schools_nearby,weight_schools_nearby,preferred_hospitals_nearby,weight_hospitals_nearby,preferred_parks_nearby,weight_parks_nearby,preferred_public_transport_score,weight_public_transport_score
CLT0001,Relizane,5930836,9793253,82,172,apartment,married,False,0.37,0.57,4,0.61,3,0.33,1,0.26,1,0.25,10,0.4
CLT0002,Annaba,11226623,18294099,62,121,villa,single,False,0.95,0.81,5,0.55,4,0.47,4,0.53,5,0.34,7,0.34
CLT0003,Tebessa,8067769,14406623,50,68,villa,single,True,0.73,0.76,3,0.23,2,0.74,4,0.17,3,0.59,6,0.4
CLT0004,Touggourt,6648369,12151655,85,132,studio,single,True,0.6,0.15,5,0.39,4,0.87,5,0.17,1,0.45,7,0.76
CLT0005,Timimoun,6013932,8489697,84,164,apartment,single,True,0.16,0.15,5,0.59,4,0.43,1,0.46,5,0.75,7,0.48
CLT0006,Tiaret,5033716,7717287,94,122,studio,married,True,0.16,0.27,2,0.5,1,0.04,3,0.03,1,0.21,6,0.94
CLT0007,Tindouf,5411787,8280923,72,154,villa,married,True,0.06,0.36,3,0.99,2,0.16,0,0.12,1,0.01,1,0.29
CLT0008,Algiers,6958484,13361150,61,146,villa,divorced,False,0.87,0.41,3,0.14,2,0.02,2,0.42,2,0.78,10,0.42
CLT0009,Tlemcen,11573121,17719292,51,118,villa,divorced,False,0.6,0.68,3,0.7,2,0.65,4,0.06,0,0.82,8,0.79
CLT0010,Ghardaia,11175880,16899730,75,159,apartment,married,False,0.71,0.06,5,0.4,4,0.33,2,0.4,4,0.06,6,0.55
CLT0011,Annaba,10528547,13824688,93,121,apartment,divorced,False,0.02,0.03,4,0.43,3,0.54,3,0.47,1,0.61,10,0.55
CLT0012,Batna,6828142,14487103,97,188,apartment,divorced,True,0.97,0.39,3,0.72,2,0.49,4,0.45,1,0.38,5,0.05
CLT0013,El Oued,6583145,9986747,64,136,apartment,divorced,True,0.83,0.7,5,0.69,5,0.08,2,0.87,1,0.79,8,0.4
CLT0014,Djanet,6009841,11032651,58,108,studio,divorced,True,0.21,0.19,2,0.99,4,0.4,3,0.53,0,0.87,0,0.27
CLT0015,Touggourt,7985054,11523807,93,110,apartment,married,True,0.18,0.64,4,0.13,1,0.22,0,0.47,5,0.85,10,1.0
