client_id,preferred_location,min_budget_DZD,max_budget_DZD,min_area,max_area,preferred_property_type,marital_status,has_kids,property_id,location,price_DZD,area,property_type,rooms,schools_nearby,hospitals_nearby,parks_nearby,public_transport_score,match
c26a40fd,Algiers,6128521,8164365,83,121,apartment,married,True,14887,Algiers,6306017,123,apartment,2,0,0,1,6,0
60ffc0ae,Constantine,7201037,10307051,95,117,villa,married,True,16771,Algiers,9388319,63,apartment,6,0,0,1,10,0
b7119916,Constantine,6012861,8756304,100,153,apartment,single,False,10093,Oran,8259800,104,duplex,6,0,2,2,8,0
130b6022,Bejaia,5276706,6524961,84,116,apartment,single,False,14587,Bejaia,7431498,107,apartment,2,1,2,1,4,0
7f1ff69e,Blida,7191724,9668101,79,106,villa,single,True,19217,Blida,10692562,133,villa,5,3,1,0,3,0
157f627b,Algiers,6631855,7898776,98,153,duplex,single,True,16121,Constantine,5121493,141,villa,6,0,2,2,9,0
b03b98bb,Bejaia,5769352,7749506,78,120,villa,divorced,True,10033,Tizi Ouzou,7973594,115,villa,2,0,1,0,3,0
23379581,Oran,7455932,9139192,70,115,apartment,married,True,17708,Bejaia,5751445,66,apartment,2,0,2,2,10,0
80b1127b,Bejaia,5218174,9085191,85,120,duplex,married,False,11043,Algiers,8266879,81,villa,5,0,0,2,10,0
c47dda68,Constantine,6671230,10269918,95,128,duplex,married,False,12143,Tizi Ouzou,4113504,113,apartment,6,3,0,1,3,0
b57ce9ec,Algiers,6265669,7368218,89,133,apartment,single,False,19037,Algiers,9884943,135,villa,3,3,1,1,9,0
0528d353,Constantine,6894181,10064814,91,140,apartment,single,True,16018,Bejaia,5449590,94,villa,4,2,2,2,7,0
bda61600,Constantine,7555076,9043884,87,118,apartment,single,True,17551,Bejaia,9454674,77,apartment,6,2,2,1,5,0
b80cf3b5,Blida,7088083,9336234,86,143,villa,single,True,16937,Constantine,9970977,95,villa,5,0,0,1,7,0
fea19e30,Blida,6547955,10458361,79,118,apartment,divorced,True,15387,Constantine,9354880,97,villa,5,0,2,2,9,0
5b9c65c0,Tizi Ouzou,6500566,8838291,87,135,villa,divorced,False,18272,Constantine,4751167,111,apartment,3,1,1,0,3,0
