client_id,preferred_location,min_budget_DZD,max_budget_DZD,min_area,max_area,preferred_property_type,marital_status,has_kids,property_id,location,price_DZD,area,property_type,rooms,schools_nearby,hospitals_nearby,parks_nearby,public_transport_score,match
1,Bejaia,8154206,9233599,86,110,duplex,divorced,False,10000,Bejaia,6411065,105,villa,2,5,1,3,5,0
2,Tizi Ouzou,5713426,8873975,74,110,villa,divorced,False,10001,Ouargla,6175835,147,duplex,3,5,3,3,7,0
3,Algiers,7142290,10875706,71,110,duplex,married,True,10002,Tizi Ouzou,7915110,125,villa,2,0,3,1,3,0
4,Setif,7240048,10188725,72,120,villa,divorced,True,10003,Bejaia,7725689,149,duplex,3,3,1,3,7,0
5,Oran,6335918,8776721,97,138,villa,divorced,False,10004,Oran,6038750,110,apartment,3,4,2,1,3,0
6,Setif,6518930,8111706,82,141,duplex,divorced,False,10005,Ouargla,8605049,105,villa,3,4,2,0,5,0
7,Bejaia,8631952,9648090,93,147,villa,single,True,10006,Batna,7024041,132,duplex,2,5,3,2,4,0
8,Batna,8507101,12205042,98,144,duplex,divorced,False,10007,Bejaia,7978631,141,duplex,5,0,3,1,10,0
9,Ouargla,7851078,10573960,73,101,apartment,divorced,False,10008,Algiers,9184904,87,villa,3,1,2,0,2,0
10,Batna,8539166,12316378,82,108,duplex,single,False,10009,Batna,9643184,132,villa,4,5,1,2,9,0
11,Setif,7746919,9568983,99,119,villa,divorced,True,10010,Ouargla,8736956,85,apartment,5,2,2,2,7,0
12,Setif,7782172,10752732,99,156,villa,single,True,10011,Algiers,9955526,107,villa,2,4,2,2,10,0
13,Tizi Ouzou,6990062,10323001,86,113,villa,single,False,10012,Blida,8958544,145,villa,5,1,3,2,2,0
14,Setif,5815791,8293091,83,136,duplex,divorced,True,10013,Algiers,7055770,118,villa,4,0,1,1,3,0
15,Annaba,5478586,8878720,71,111,duplex,divorced,True,10014,Constantine,8589711,99,duplex,2,0,1,1,10,0
16,Tizi Ouzou,7436468,10989857,74,116,villa,divorced,True,10015,Bejaia,9304480,94,duplex,5,3,2,3,6,0
17,Oran,5301581,9083230,70,104,apartment,divorced,False,10016,Oran,8421671,123,duplex,4,2,3,3,3,0
18,Annaba,6892551,10204115,75,109,villa,married,False,10017,Batna,7039538,90,duplex,5,3,0,3,10,0
19,Setif,5148033,7745978,90,127,villa,married,True,10018,Ouargla,6321733,116,duplex,5,3,0,1,5,0
20,Algiers,5218095,8969333,94,115,villa,married,True,10019,Oran,8337515,82,villa,5,2,2,3,10,0
21,Tizi Ouzou,6459711,7742741,95,116,apartment,divorced,True,10020,Tizi Ouzou,6257740,88,villa,5,4,3,1,4,0
22,Oran,6293932,8010623,100,124,duplex,married,False,10021,Constantine,6155601,123,villa,5,5,3,1,1,0
23,Annaba,7834569,11639897,98,139,villa,married,False,10022,Tizi Ouzou,7796627,148,apartment,2,2,0,1,5,0
24,Constantine,7108841,9619043,96,129,apartment,divorced,False,10023,Blida,6994831,124,apartment,4,5,0,2,10,0
25,Setif,8303200,11079932,75,120,villa,divorced,True,10024,Algiers,9141869,101,duplex,2,2,3,0,5,0
26,Ouargla,6721905,9100809,97,141,duplex,single,False,10025,Tizi Ouzou,9718251,110,villa,5,0,0,1,2,0
27,Ouargla,5259966,7423731,87,146,villa,married,True,10026,Annaba,7520036,92,villa,5,1,2,3,1,0
28,Annaba,6766577,9840539,96,116,apartment,married,True,10027,Oran,6180195,131,villa,5,1,1,0,2,0
29,Tizi Ouzou,8546947,11488057,93,127,villa,single,False,10028,Setif,8770486,132,apartment,4,5,0,2,10,0
30,Algiers,8819966,11827524,81,124,apartment,divorced,False,10029,Ouargla,7813776,142,villa,3,3,1,1,2,0
31,Constantine,7662574,10209676,71,107,duplex,single,True,10030,Annaba,6259884,140,villa,5,0,2,1,8,0
32,Ouargla,8636204,10268280,89,136,duplex,single,True,10031,Oran,9765862,88,apartment,3,2,2,1,6,0
33,Annaba,7594307,8657339,81,139,villa,single,False,10032,Oran,6331261,137,apartment,4,3,3,1,7,0
34,Ouargla,5978160,9676254,86,121,apartment,single,True,10033,Algiers,7720848,88,villa,3,5,1,2,5,0
35,Algiers,6006905,7767925,80,136,duplex,married,False,10034,Algiers,6341637,125,duplex,5,4,3,1,3,1
36,Blida,6833079,9505861,79,116,apartment,divorced,False,10035,Blida,6710796,147,duplex,4,2,2,0,8,0
37,Setif,7622839,9916751,84,107,villa,divorced,True,10036,Ouargla,9067048,127,apartment,3,4,2,1,4,0
38,Batna,6165787,7934584,94,120,apartment,divorced,False,10037,Batna,7150740,128,apartment,2,0,2,2,1,0
